# On-chain CTF Exchange OrderFilled (Polygon via Alchemy). price_per_share = usdc / shares for that fill.
# slug=sol-updown-5m-1774458000 title="Solana Up or Down - March 25, 1:00PM-1:05PM ET"
# window_unix=1774458000..1774458299 (300s before 5m end) blocks=84668983..84669132
# polygon_meta={"chainId":137,"headBlock":84671240,"headBlockTs":1774462515}
unix_seconds,iso_utc,block_number,tx_hash,log_index,outcome,side,shares,usdc,price_per_share
1774458011,2026-03-25T17:00:11.000Z,84668988,0x71c4007fb37323bafbca782b62ffbbe66ed36c2b18f061ef7286dcb62572e786,1644,Up,buy,48.000000,26.400000,0.55000000
1774458011,2026-03-25T17:00:11.000Z,84668988,0x71c4007fb37323bafbca782b62ffbbe66ed36c2b18f061ef7286dcb62572e786,1648,Down,buy,48.000000,21.600000,0.45000000
1774458013,2026-03-25T17:00:13.000Z,84668989,0x22174df42c6c5ffd2688e0d61d09d3c086a2a666b1331a6be00bf83bafc78141,676,Down,buy,8.771927,3.771929,0.43000004
1774458013,2026-03-25T17:00:13.000Z,84668989,0x22174df42c6c5ffd2688e0d61d09d3c086a2a666b1331a6be00bf83bafc78141,680,Up,buy,8.771927,4.999998,0.56999996
1774458013,2026-03-25T17:00:13.000Z,84668989,0x33f240a21d441345ef4ad652de5c4df5ec8458e2f3952a57abd9c4aa6e048ff7,1890,Down,buy,6.220000,2.674600,0.43000000
1774458013,2026-03-25T17:00:13.000Z,84668989,0x33f240a21d441345ef4ad652de5c4df5ec8458e2f3952a57abd9c4aa6e048ff7,1900,Down,buy,2.551927,1.097329,0.43000015
1774458013,2026-03-25T17:00:13.000Z,84668989,0x33f240a21d441345ef4ad652de5c4df5ec8458e2f3952a57abd9c4aa6e048ff7,1904,Up,buy,8.771927,4.999998,0.56999996
1774458017,2026-03-25T17:00:17.000Z,84668991,0xd3c51b41e2f501d998e1d8a88b0f1c9bc37f83b10bbca93999bc2f2f96fa878b,543,Up,buy,18.000000,9.720000,0.54000000
1774458017,2026-03-25T17:00:17.000Z,84668991,0xd3c51b41e2f501d998e1d8a88b0f1c9bc37f83b10bbca93999bc2f2f96fa878b,553,Up,buy,2.000000,1.080000,0.54000000
1774458017,2026-03-25T17:00:17.000Z,84668991,0xd3c51b41e2f501d998e1d8a88b0f1c9bc37f83b10bbca93999bc2f2f96fa878b,557,Down,buy,20.000000,9.200000,0.46000000
1774458017,2026-03-25T17:00:17.000Z,84668991,0x7fb1a83ef2bcc9814720f1722f8ff157a15f6652f759851c23f46bab8272fe37,1117,Up,buy,5.000000,2.750000,0.55000000
1774458017,2026-03-25T17:00:17.000Z,84668991,0x7fb1a83ef2bcc9814720f1722f8ff157a15f6652f759851c23f46bab8272fe37,1121,Down,buy,5.000000,2.250000,0.45000000
1774458017,2026-03-25T17:00:17.000Z,84668991,0x8e093c1efe62b2e9f3c90eb0e9f1caa458012dad22a744b4e4dfaa15980c8a76,1646,Down,buy,8.928570,3.928571,0.44000002
1774458017,2026-03-25T17:00:17.000Z,84668991,0x8e093c1efe62b2e9f3c90eb0e9f1caa458012dad22a744b4e4dfaa15980c8a76,1650,Up,buy,8.928570,4.999999,0.55999998
1774458019,2026-03-25T17:00:19.000Z,84668992,0xf27a50b31300b2155aaafb1644b82dc50fb6c3b194fa99e50d6d2c536b6ac10f,1985,Up,buy,9.000000,4.950000,0.55000000
1774458019,2026-03-25T17:00:19.000Z,84668992,0xf27a50b31300b2155aaafb1644b82dc50fb6c3b194fa99e50d6d2c536b6ac10f,1995,Up,buy,2.111110,1.161111,0.55000024
1774458019,2026-03-25T17:00:19.000Z,84668992,0xf27a50b31300b2155aaafb1644b82dc50fb6c3b194fa99e50d6d2c536b6ac10f,1999,Down,buy,11.111110,4.999999,0.44999995
1774458023,2026-03-25T17:00:23.000Z,84668994,0x7fa11c3ffec3233e1458f7537c15437708e9c0b189730781fb3468e8fe35722f,610,Down,buy,0.330000,0.145200,0.44000000
1774458023,2026-03-25T17:00:23.000Z,84668994,0x7fa11c3ffec3233e1458f7537c15437708e9c0b189730781fb3468e8fe35722f,620,Down,buy,11.000000,4.840000,0.44000000
1774458023,2026-03-25T17:00:23.000Z,84668994,0x7fa11c3ffec3233e1458f7537c15437708e9c0b189730781fb3468e8fe35722f,630,Down,buy,5.000000,2.200000,0.44000000
1774458023,2026-03-25T17:00:23.000Z,84668994,0x7fa11c3ffec3233e1458f7537c15437708e9c0b189730781fb3468e8fe35722f,634,Up,buy,16.330000,9.144800,0.56000000
1774458023,2026-03-25T17:00:23.000Z,84668994,0x940cd44b3e233584c74cf2319565a529548442eac91d2050dcbd3f648d5f2653,1378,Down,buy,1.929823,0.829824,0.43000006
1774458023,2026-03-25T17:00:23.000Z,84668994,0x940cd44b3e233584c74cf2319565a529548442eac91d2050dcbd3f648d5f2653,1382,Up,buy,1.929823,1.099999,0.56999994
1774458023,2026-03-25T17:00:23.000Z,84668994,0xa387188c060318c11957a24af575dc65a089771878b8630bb7f1a3be70c66062,1621,Down,buy,1.754383,0.754385,0.43000018
1774458023,2026-03-25T17:00:23.000Z,84668994,0xa387188c060318c11957a24af575dc65a089771878b8630bb7f1a3be70c66062,1625,Up,buy,1.754383,0.999998,0.56999982
1774458023,2026-03-25T17:00:23.000Z,84668994,0x95a88a55e3203eb514893f7101e68e1a15df2cfcb59196a7466ab17a9e6c5d8a,2129,Down,buy,13.310000,5.723300,0.43000000
